Area;Year;Period;State Code;State Name;Employed;Labor Force;Unemployed;Unemployment Rate
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;1984;Annual;26;Michigan;1745000;1973000;227000;11,5
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;1985;Annual;26;Michigan;1816000;2023000;207000;10,3
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;1986;Annual;26;Michigan;1859000;2045000;187000;9,1
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;1987;Annual;26;Michigan;1893000;2065000;172000;8,3
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;1988;Annual;26;Michigan;1915000;2073000;158000;7,6
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;1989;Annual;26;Michigan;1951000;2108000;157000;7,5
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;1990;Annual;26;Michigan;1944000;2111000;167000;7,9
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;1991;Annual;26;Michigan;1908000;2115000;207000;9,8
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;1992;Annual;26;Michigan;1954000;2159000;205000;9,5
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;1993;Annual;26;Michigan;1998000;2154000;156000;7,3
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;1994;Annual;26;Michigan;2034000;2156000;122000;5,7
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;1995;Annual;26;Michigan;2070000;2177000;107000;4,9
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;1996;Annual;26;Michigan;2116000;2221000;106000;4,8
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;1997;Annual;26;Michigan;2140000;2234000;94000;4,2
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;1998;Annual;26;Michigan;2173000;2264000;91000;4
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;1999;Annual;26;Michigan;2226000;2314000;88000;3,8
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;2000;Annual;26;Michigan;2218000;2295000;78000;3,4
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;2001;Annual;26;Michigan;2141000;2255000;114000;5,1
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;2002;Annual;26;Michigan;2083000;2221000;138000;6,2
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;2003;Annual;26;Michigan;2055000;2214000;160000;7,2
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;2004;Annual;26;Michigan;2046000;2205000;159000;7,2
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;2005;Annual;26;Michigan;2037000;2191000;154000;7
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;2006;Annual;26;Michigan;2017000;2172000;155000;7,1
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;2007;Annual;26;Michigan;1983000;2140000;156000;7,3
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;2008;Annual;26;Michigan;1921000;2101000;179000;8,5
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;2009;Annual;26;Michigan;1786000;2084000;299000;14,3
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;2010;Annual;26;Michigan;1768000;2042000;274000;13,4
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;2011;Annual;26;Michigan;1774000;1993000;219000;11
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;2012;Annual;26;Michigan;1809000;2011000;202000;10
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;2013;Annual;26;Michigan;1843000;2040000;197000;9,7
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;2014;Annual;26;Michigan;1863000;2027000;164000;8,1
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;2015;Annual;26;Michigan;1898000;2015000;117000;5,8
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;2016;Annual;26;Michigan;1973000;2082000;109000;5,2
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;2017;Annual;26;Michigan;2045000;2142000;97000;4,5
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;2018;Annual;26;Michigan;2072000;2165000;93000;4,3
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;2019;Annual;26;Michigan;2095000;2188000;92000;4,2
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;2020;Annual;26;Michigan;1871000;2113000;242000;11,5
Detroit-Warren-Dearborn, MI Metropolitan Statistical Area;2021;Annual;26;Michigan;1982000;2114000;132000;6,2
